회사,제목,URL,경력,계약형태,지역,지역(구),직무
(주)마크클라우드,"ai 개발(python), 데이터분석 및 사업 기획 모집(인턴)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49551418&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력무관,인턴직,서울,강남구,데이터 분석가
콘센트릭스서비스코리아(유),데이터 분석 (태깅),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49279558&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,신입·경력,정규직,서울,강남구,데이터 분석가
(주)빗썸코리아,데이터 분석 개발자 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534693&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 4~12년,정규직,서울,강남구,데이터 분석가
호전실업(주),"데이터 분석, ai엔지니어 채용 (4~7년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528482&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 4~7년,정규직,서울,마포구,데이터 분석가
(주)이글루코퍼레이션,[연구개발본부] 데이터 분석 엔진 개발 경력 정규직 채용 (6년 ↑),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535465&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 6~10년,정규직,서울전체,,데이터 분석가
호전실업(주),"데이터 분석, ai엔지니어 채용 (8~10년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528486&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 8~10년,정규직,서울,마포구,데이터 분석가
콘센트릭스서비스코리아(유),ga/aa 데이터분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49281028&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 1~11년,정규직,서울,강남구,데이터 분석가
씨앤토트(주),데이터 분석 및 시각화 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487860&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력3년↑,정규직,서울,서초구,데이터 분석가
(주)데이터누리,[데이터누리] 데이터 분석가를 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49257728&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력5년↑,정규직,서울,강서구,데이터 분석가
(주)엠포스,[엠포스] 데이터 분석가 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539376&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력2년↑,정규직,서울,서초구,데이터 분석가
다산팩 주식회사,데이터 분석팀 - 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423318&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력무관,정규직,서울,송파구,데이터 분석가
(주)퍼플아카데미,데이터 분석가 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475791&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,신입·경력,정규직,서울전체,,데이터 분석가
(주)토마토시스템,[(주)토마토시스템] ai데이터 분석 부문 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543994&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력3년↑,정규직,서울,강남구,데이터 분석가
(주)플렉싱크,ai사업본부(데이터 분석/ai모델링) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49362376&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력무관,정규직,제주,제주시,데이터 분석가
(주)콜로세움코퍼레이션,데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495795&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 1~10년,정규직,서울,강남구,데이터 분석가
(주)이와이드플러스,[수원영통] 삼성 app서비스 데이터분석/리포팅 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525312&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,신입·경력,정규직,경기,수원시 영통구,데이터 분석가
(주)엔플럭스,공공기관 da(데이터 분석업무) 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439351&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력무관,정규직,서울,도봉구,데이터 분석가
